                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.92298,                0.73957,                 1.1849,                0.72402,                0.75803,                0.78983,                0.57014,                 1.0227,                0.89795,                 1.2192,             0.00015855,             0.00015855,             0.00015855
                     80,                0.91716,                0.71532,                 1.1803,                0.73872,                0.77475,                0.79934,                0.56757,                 1.0218,                0.88673,                 1.2281,             0.00015194,             0.00015194,             0.00015194
                     81,                0.92146,                0.74105,                 1.1803,                0.75275,                0.72553,                0.79142,                0.56794,                 1.0108,                0.87715,                 1.2317,             0.00014534,             0.00014534,             0.00014534
                     82,                0.94096,                0.74834,                 1.1907,                0.76619,                0.74778,                0.79999,                0.57448,                 1.0208,                 0.8732,                 1.2294,             0.00013874,             0.00013874,             0.00013874
                     83,                0.91093,                0.71918,                 1.1749,                0.75693,                0.74342,                0.79405,                0.57041,                 1.0052,                0.88562,                  1.218,             0.00013213,             0.00013213,             0.00013213
                     84,                0.91902,                0.73047,                 1.1826,                0.77299,                0.72982,                0.79788,                0.57175,                 1.0189,                0.88741,                 1.2334,             0.00012553,             0.00012553,             0.00012553
                     85,                0.90796,                0.72031,                 1.1802,                0.73324,                0.79976,                0.80614,                0.57797,                 1.0216,                0.85837,                 1.2378,             0.00011893,             0.00011893,             0.00011893
                     86,                0.89157,                0.70285,                  1.169,                0.75634,                 0.7609,                0.81094,                0.57841,                 1.0225,                0.87848,                 1.2438,             0.00011232,             0.00011232,             0.00011232
                     87,                0.88821,                 0.6908,                 1.1667,                0.75973,                0.74765,                0.80005,                0.57221,                 1.0349,                0.87094,                 1.2403,             0.00010572,             0.00010572,             0.00010572
                     88,                0.90078,                0.70486,                 1.1674,                0.76939,                0.76777,                0.80458,                 0.5788,                 1.0138,                0.88164,                 1.2301,             9.9116e-05,             9.9116e-05,             9.9116e-05
                     89,                0.86824,                0.67938,                 1.1526,                0.73548,                 0.7662,                 0.8009,                0.57647,                 1.0172,                0.90009,                 1.2355,             9.2513e-05,             9.2513e-05,             9.2513e-05
                     90,                 0.8955,                0.69679,                 1.1646,                0.75877,                0.74913,                 0.7939,                0.57653,                0.99952,                0.88932,                 1.2208,              8.591e-05,              8.591e-05,              8.591e-05
                     91,                 0.8021,                0.54849,                 1.1168,                0.77598,                0.73381,                0.79926,                0.57443,                 1.0017,                0.85854,                 1.2293,             7.9306e-05,             7.9306e-05,             7.9306e-05
                     92,                 0.7866,                0.52564,                 1.1067,                0.77088,                0.74461,                0.79193,                0.57133,                 1.0043,                0.90384,                 1.2385,             7.2703e-05,             7.2703e-05,             7.2703e-05
                     93,                0.77738,                0.51888,                    1.1,                0.75079,                0.74461,                0.78932,                0.56732,                 1.0236,                0.89077,                 1.2455,               6.61e-05,               6.61e-05,               6.61e-05
                     94,                0.76932,                0.50578,                 1.0958,                0.76084,                0.72752,                0.79433,                0.57327,                 1.0036,                0.88461,                 1.2403,             5.9496e-05,             5.9496e-05,             5.9496e-05
                     95,                0.75947,                0.50426,                 1.0883,                0.76772,                0.73295,                0.78601,                0.57278,                 1.0047,                0.88652,                 1.2366,             5.2893e-05,             5.2893e-05,             5.2893e-05
                     96,                0.75889,                0.49729,                 1.0949,                0.77674,                0.73964,                0.79093,                0.57181,                 1.0139,                0.87854,                 1.2464,              4.629e-05,              4.629e-05,              4.629e-05
                     97,                 0.7451,                0.49406,                 1.0764,                0.77592,                0.73488,                 0.7915,                0.56765,                 1.0153,                0.87545,                 1.2482,             3.9687e-05,             3.9687e-05,             3.9687e-05
                     98,                0.74026,                0.48367,                 1.0803,                0.74919,                0.76379,                0.79543,                0.57045,                 1.0146,                0.89021,                 1.2517,             3.3083e-05,             3.3083e-05,             3.3083e-05
                     99,                0.74506,                0.49067,                 1.0835,                0.74592,                0.74337,                0.78995,                0.57314,                 1.0119,                0.89246,                  1.253,              2.648e-05,              2.648e-05,              2.648e-05
                    100,                 0.7288,                 0.4855,                 1.0729,                0.74604,                0.75213,                0.79071,                0.57187,                 1.0114,                0.89271,                 1.2501,             1.9877e-05,             1.9877e-05,             1.9877e-05
